#day,name,nightly,weekly,monthly
Jan-01-2014,225769,80,*,*
Jan-02-2014,225769,*,*,*
Jan-03-2014,225769,*,*,*
Jan-04-2014,225769,*,*,*
Jan-05-2014,225769,*,*,*
Jan-06-2014,225769,*,*,*
Jan-07-2014,225769,*,*,*
Jan-08-2014,225769,*,*,*
Jan-09-2014,225769,*,*,*
Jan-10-2014,225769,*,*,*
Jan-11-2014,225769,*,*,*
Jan-12-2014,225769,*,*,*
Jan-13-2014,225769,*,*,*
Jan-14-2014,225769,*,*,*
Jan-15-2014,225769,*,*,*
Jan-16-2014,225769,*,*,*
Jan-17-2014,225769,*,*,*
Jan-18-2014,225769,*,*,*
Jan-19-2014,225769,*,*,*
Jan-20-2014,225769,*,*,*
Jan-21-2014,225769,*,*,*
Jan-22-2014,225769,*,*,*
Jan-23-2014,225769,*,*,*
Jan-24-2014,225769,*,*,*
Jan-25-2014,225769,*,*,*
Jan-26-2014,225769,*,*,*
Jan-27-2014,225769,*,*,*
Jan-28-2014,225769,*,*,*
Jan-29-2014,225769,*,*,*
Jan-30-2014,225769,*,*,*
Jan-31-2014,225769,*,*,*
Feb-01-2014,225769,*,*,*
Feb-02-2014,225769,*,*,*
Feb-03-2014,225769,*,*,*
Feb-04-2014,225769,*,*,*
Feb-05-2014,225769,*,*,*
Feb-06-2014,225769,*,*,*
Feb-07-2014,225769,*,*,*
Feb-08-2014,225769,*,*,*
Feb-09-2014,225769,*,*,*
Feb-10-2014,225769,*,*,*
Feb-11-2014,225769,*,*,*
Feb-12-2014,225769,*,*,*
Feb-13-2014,225769,*,*,*
Feb-14-2014,225769,*,*,*
Feb-15-2014,225769,*,*,*
Feb-16-2014,225769,*,*,*
Feb-17-2014,225769,*,*,*
Feb-18-2014,225769,*,*,*
Feb-19-2014,225769,*,*,*
Feb-20-2014,225769,*,*,*
Feb-21-2014,225769,*,*,*
Feb-22-2014,225769,*,*,*
Feb-23-2014,225769,*,*,*
Feb-24-2014,225769,*,*,*
Feb-25-2014,225769,*,*,*
Feb-26-2014,225769,*,*,*
Feb-27-2014,225769,*,*,*
Feb-28-2014,225769,*,*,*
Mar-01-2014,225769,*,*,*
Mar-02-2014,225769,*,*,*
Mar-03-2014,225769,*,*,*
Mar-04-2014,225769,*,*,*
Mar-05-2014,225769,*,*,*
Mar-06-2014,225769,*,*,*
Mar-07-2014,225769,*,*,*
Mar-08-2014,225769,*,*,*
Mar-09-2014,225769,*,*,*
Mar-10-2014,225769,*,*,*
Mar-11-2014,225769,*,*,*
Mar-12-2014,225769,*,*,*
Mar-13-2014,225769,*,*,*
Mar-14-2014,225769,*,*,*
Mar-15-2014,225769,*,*,*
Mar-16-2014,225769,*,*,*
Mar-17-2014,225769,*,*,*
Mar-18-2014,225769,*,*,*
Mar-19-2014,225769,*,*,*
Mar-20-2014,225769,*,*,*
Mar-21-2014,225769,*,*,*
Mar-22-2014,225769,*,*,*
Mar-23-2014,225769,*,*,*
Mar-24-2014,225769,*,*,*
Mar-25-2014,225769,*,*,*
Mar-26-2014,225769,*,*,*
Mar-27-2014,225769,*,*,*
Mar-28-2014,225769,*,*,*
Mar-29-2014,225769,*,*,*
Mar-30-2014,225769,*,*,*
Mar-31-2014,225769,*,*,*
Apr-01-2014,225769,*,*,*
Apr-02-2014,225769,*,*,*
Apr-03-2014,225769,*,*,*
Apr-04-2014,225769,*,*,*
Apr-05-2014,225769,*,*,*
Apr-06-2014,225769,*,*,*
Apr-07-2014,225769,*,*,*
Apr-08-2014,225769,*,*,*
Apr-09-2014,225769,*,*,*
Apr-10-2014,225769,*,*,*
Apr-11-2014,225769,*,*,*
Apr-12-2014,225769,*,*,*
Apr-13-2014,225769,*,*,*
Apr-14-2014,225769,*,*,*
Apr-15-2014,225769,*,*,*
Apr-16-2014,225769,*,*,*
Apr-17-2014,225769,*,*,*
